,CID,mol_id,action,CID_id,mol_id_id,id
388,3948,1574722,inhibitor,489,1188,0
389,4539,1574722,inhibitor,546,1188,0
390,149096,1574722,inhibitor,602,1188,0
391,9571107,1574722,inhibitor,612,1188,0
392,4583,1574722,inhibitor,616,1188,0
393,60464,1574722,inhibitor,645,1188,0
394,3357,1574722,inhibitor,783,1188,0
395,11567473,1574722,inhibitor,951,1188,0
396,152946,292830,inhibitor,37,1189,0
397,2179,292830,inhibitor,74,1189,0
398,454216,292830,inhibitor,140,1189,0
399,452548,292830,inhibitor,171,1189,0
400,41867,292830,inhibitor,172,1189,0
401,3229,292830,inhibitor,185,1189,0
402,51081,292830,inhibitor,197,1189,0
403,2764,292830,inhibitor,225,1189,0
404,30323,292830,inhibitor,318,1189,0
405,36462,292830,inhibitor,367,1189,0
406,457193,292830,inhibitor,484,1189,0
407,3948,292830,inhibitor,489,1189,0
408,31703,292830,inhibitor,504,1189,0
409,4539,292830,inhibitor,546,1189,0
410,149096,292830,inhibitor,602,1189,0
411,4583,292830,inhibitor,616,1189,0
412,42890,292830,inhibitor,627,1189,0
413,10607,292830,inhibitor,628,1189,0
414,4212,292830,inhibitor,641,1189,0
415,60464,292830,inhibitor,645,1189,0
416,3357,292830,inhibitor,783,1189,0
417,10180,292830,inhibitor,812,1189,0
418,11567473,292830,inhibitor,951,1189,0
419,64143,4377614,inhibitor,39,1190,0
420,3476,1088445,inhibitor,41,1191,0
421,60753,1088445,inhibitor,97,1191,0
422,2520,1088445,inhibitor,301,1191,0
423,3488,1088445,inhibitor,519,1191,0
424,3476,529313,inhibitor,41,1192,0
425,5505,529313,inhibitor,593,1192,0
426,2727,1374919,inhibitor,306,1193,0
427,5311309,1374919,inhibitor,344,1193,0
428,65981,1374919,inhibitor,449,1193,0
429,3478,1374919,inhibitor,551,1193,0
430,5505,1374919,inhibitor,593,1193,0
431,91610,1374919,inhibitor,670,1193,0
432,121891,1374919,inhibitor,671,1193,0
433,54454,31422,inhibitor,290,1194,0
434,3121,1667394,inhibitor,100,1195,0
435,5311,1667394,inhibitor,771,1195,0
436,6918638,1667394,inhibitor,814,1195,0
437,6918837,1667394,inhibitor,861,1195,0
438,21319,18145626,inhibitor,93,1196,0
439,6196,18145626,inhibitor,330,1196,0
440,51039,18145626,inhibitor,397,1196,0
441,656511,18145626,inhibitor,471,1196,0
442,19003,18145626,inhibitor,506,1196,0
443,6479523,18145626,inhibitor,547,1196,0
444,5479529,18145626,inhibitor,582,1196,0
445,441397,18145626,inhibitor,751,1196,0
446,33478,18145626,inhibitor,753,1196,0
447,115163,18145626,inhibitor,754,1196,0
448,4121,29600,inhibitor,46,1199,0
449,5284627,29600,inhibitor,71,1199,0
450,2162,29600,inhibitor,137,1199,0
451,2315,29600,inhibitor,167,1199,0
452,2343,29600,inhibitor,246,1199,0
453,2910,29600,inhibitor,270,1199,0
454,4100,29600,inhibitor,323,1199,0
455,3647,29600,inhibitor,368,1199,0
456,5284549,29600,inhibitor,421,1199,0
457,5734,29600,inhibitor,447,1199,0
458,3019,29600,inhibitor,588,1199,0
459,3038,29600,inhibitor,606,1199,0
460,68844,29600,inhibitor,633,1199,0
461,6307,29600,inhibitor,696,1199,0
462,10340,29600,inhibitor,1018,1199,0
463,4121,179780,inhibitor,46,1200,0
464,5284627,179780,inhibitor,71,1200,0
465,5355,179780,inhibitor,143,1200,0
466,2315,179780,inhibitor,167,1200,0
467,2662,179780,inhibitor,193,1200,0
468,2343,179780,inhibitor,246,1200,0
469,2910,179780,inhibitor,270,1200,0
470,4100,179780,inhibitor,323,1200,0
471,3647,179780,inhibitor,368,1200,0
472,5284549,179780,inhibitor,421,1200,0
473,5734,179780,inhibitor,447,1200,0
474,3019,179780,inhibitor,588,1200,0
475,3038,179780,inhibitor,606,1200,0
476,68844,179780,inhibitor,633,1200,0
477,6307,179780,inhibitor,696,1200,0
478,10340,179780,inhibitor,1018,1200,0
479,4121,179791,inhibitor,46,1201,0
480,5284627,179791,inhibitor,71,1201,0
