"","CID_id","mol_id","action_id"
"549",308,1399,1
"2346",536,1758,0
"14",675,1370,10
"2750",399,1366,0
"238",1105,1534,1
"637",447,1278,1
"2877",687,1683,0
"708",477,1287,1
"3163",259,1584,0
"3040",519,1335,0
"2837",237,1573,0
"1299",1060,1538,2
"3349",274,1411,0
"1026",125,1346,2
"2540",1038,1848,0
"3540",878,1325,0
"556",595,1381,1
"1584",307,1386,2
"3840",659,1284,0
"481",425,1440,1
"3407",907,1472,0
"429",239,1480,1
"2579",734,1534,0
"3980",858,1381,12
"1304",151,1393,2
"1895",37,1285,2
"1291",152,1390,2
"902",1197,1270,2
"3110",381,1427,0
"2998",485,1463,0
"2983",312,1371,0
"2447",343,1648,0
"3209",306,1307,0
"2631",25,1309,0
"3275",1141,1472,0
"952",143,1386,2
"3709",1203,2026,0
"3012",162,1522,0
"1960",838,1345,2
"986",710,1260,2
"3065",1055,1238,0
"484",236,1558,1
"1746",370,1341,2
"1450",652,1321,2
"651",1087,1885,1
"3858",560,1604,0
"876",1166,1440,2
"2925",1135,1957,0
"3070",918,1238,0
"3670",410,1382,0
"1311",596,1393,2
"286",893,1333,1
"1563",1185,1283,2
"1499",1176,1264,2
"1493",713,1384,2
"6",386,1370,10
"3391",1043,1335,0
"2666",720,1664,0
"477",459,1242,1
"3261",600,1604,0
"1254",694,1261,2
"3383",450,1335,0
"2196",170,1387,7
"396",77,1386,1
"698",348,1342,1
"3473",812,1380,0
"1782",921,1259,2
"1120",890,1385,2
"604",1142,1958,1
"3860",911,1462,0
"1921",733,1385,2
"3425",406,1687,0
"3869",1081,1944,0
"1804",969,1392,2
"1386",716,1388,2
"2956",954,1529,0
"3687",265,1271,0
"2190",918,1344,7
"1163",132,1336,2
"3994",451,1322,13
"1278",791,1285,2
"641",835,1481,1
"3746",487,1359,0
"3114",1203,1849,0
"3266",34,1338,0
"2587",447,1724,0
"1505",1197,1275,2
"422",1125,1291,1
"3412",112,1379,0
"543",288,1389,1
"2257",1115,1522,11
"93",716,1384,1
"261",1068,1385,1
"2342",29,1327,0
"3022",1203,2019,0
"582",1094,1273,1
"1907",175,1525,2
"3419",265,1262,0
"792",712,1250,2
"2954",265,1265,0
"3433",352,1417,0
"3766",1203,1913,0
"1137",125,1260,2
"2436",1148,1365,0
"2887",851,1887,0
"1927",148,1349,2
